b'Altura do tanque 1: 0.2557080444032403 Vazao do tanque 1: 1.7442967262360485, Valor setado pelo user: 2'
b'Altura do tanque 1: 0.2557080444032403 Vazao do tanque 1: 1.7443006360662865, Valor setado pelo user: 2                       Altura do tanque 2: 0.36904747090412626 Vazao do tanque 2: 0.6309530581497416, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.12386421067920322 Vazao do tanque 1: 1.876146729631843, Valor setado pelo user: 2                       Altura do tanque 2: 0.07826452641695401 Vazao do tanque 2: 0.9217363813089359, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.12386421067920322 Vazao do tanque 1: 1.8761467937927903, Valor setado pelo user: 2                       Altura do tanque 2: 0.07826452641695401 Vazao do tanque 2: 0.9217364291464591, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.08718406099732659 Vazao do tanque 1: 1.9128271322287609, Valor setado pelo user: 2                       Altura do tanque 2: 0.133833599388023 Vazao do tanque 2: 0.8661672647871789, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.08718406099732659 Vazao do tanque 1: 1.9128264013421263, Valor setado pelo user: 2                       Altura do tanque 2: 0.133833599388023 Vazao do tanque 2: 0.8661671148530365, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.051736679602792136 Vazao do tanque 1: 1.948274763908907, Valor setado pelo user: 2                       Altura do tanque 2: 0.1232506491706954 Vazao do tanque 2: 0.8767502270533069, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.051736679602792136 Vazao do tanque 1: 1.9482746265598332, Valor setado pelo user: 2                       Altura do tanque 2: 0.1232506491706954 Vazao do tanque 2: 0.8767501969792483, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.02625563708033153 Vazao do tanque 1: 1.973749493866901, Valor setado pelo user: 2                       Altura do tanque 2: 0.1267143984445468 Vazao do tanque 2: 0.8732860228287378, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.02625563708033153 Vazao do tanque 1: 1.973755847151951, Valor setado pelo user: 2                       Altura do tanque 2: 0.1267143984445468 Vazao do tanque 2: 0.8732864447996903, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.008190048955510046 Vazao do tanque 1: 1.991821830000225, Valor setado pelo user: 2                       Altura do tanque 2: 0.12734288161829296 Vazao do tanque 2: 0.8726580351955009, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.008190048955510046 Vazao do tanque 1: 1.991821537203092, Valor setado pelo user: 2                       Altura do tanque 2: 0.12734288161829296 Vazao do tanque 2: 0.872657979170792, Valor setado pelo user: 1'
b'Altura do tanque 1: -0.002965610279296634 Vazao do tanque 1: 2.0029770029470493, Valor setado pelo user: 2                       Altura do tanque 2: 0.1281758887405713 Vazao do tanque 2: 0.8718249604164894, Valor setado pelo user: 1'
b'Altura do tanque 1: -0.002965610279296634 Vazao do tanque 1: 2.002977229282138, Valor setado pelo user: 2                       Altura do tanque 2: 0.1281758887405713 Vazao do tanque 2: 0.8718249258921439, Valor setado pelo user: 1'
b'Altura do tanque 1: -0.0074645186043024074 Vazao do tanque 1: 2.007474303791765, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.1284711583462811 Vazao do tanque 2: 0.8715295607529239, Valor setado pelo user: 1'
b'Altura do tanque 1: -0.0074645186043024074 Vazao do tanque 1: 2.007474524611622, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.1284711583462811 Vazao do tanque 2: 0.8715295547389232, Valor setado pelo user: 1'
b'Altura do tanque 1: -0.0054126358122330125 Vazao do tanque 1: 2.005424250963508, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12833231580235382 Vazao do tanque 2: 0.8716685517685532, Valor setado pelo user: 1'
b'Altura do tanque 1: -0.0054126358122330125 Vazao do tanque 1: 2.0054245874709253, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12833231580235382 Vazao do tanque 2: 0.8716685959611221, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.0032377423807466005 Vazao do tanque 1: 1.9967737611640461, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12774569978564232 Vazao do tanque 2: 0.8722551750849744, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.0032377423807466005 Vazao do tanque 1: 1.9967737322119352, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12774569978564232 Vazao do tanque 2: 0.8722551404572813, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.018683440783012463 Vazao do tanque 1: 1.9813259007286204, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12677864683140697 Vazao do tanque 2: 0.8732220878097712, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.018683440783012463 Vazao do tanque 1: 1.9813210823647496, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12677864683140697 Vazao do tanque 2: 0.8732217170398553, Valor setado pelo user: 1'
b'Altura do tanque 1: 0.04137051626269728 Vazao do tanque 1: 1.9586406594823484, Valor setado pelo user: 2.0                       Altura do tanque 2: 0.12559429945518769 Vazao do tanque 2: 0.8744065679550009, Valor setado pelo user: 1'
